new_id,age_guess,gender_guess,zip,income,race
225,35,female,60634,57736.1576,white
234,4,female,60618,58005.5133,white
835,35,male,60620,35720.8559,
882,13,female,60641,49558.7368,white
883,6,male,60641,49558.7368,white
1161,11,male,60638,60046.2161,white
1188,9,female,60622,62490.8059,white
1198,10,female,60643,58104.9847,white
1206,35,female,60613,68426.0555,white
1216,6,male,60618,58005.5133,white
1217,6,female,60618,58005.5133,white
1266,46,female,60631,74087.4356,white
1304,49,male,60660,42405.2031,white
1314,67,female,60619,37122.9883,
1339,55,male,60612,36926.7266,white
1342,4,male,60638,60046.2161,white
1355,57,female,60640,43975.102,white
1359,3,female,60608,35282.9596,white
1361,12,male,60620,35720.8559,
1368,7,female,60630,57285.3423,white
1371,50,male,60626,40808.2465,white
1375,7,male,60630,57285.3423,white
1384,9,female,60634,57736.1576,white
1386,7,male,60634,57736.1576,white
1388,39,male,60613,68426.0555,white
1414,51,female,60624,23004.0854,
1424,4,male,60630,57285.3423,white
1425,2,female,60630,57285.3423,white
1444,7,female,60628,39591.7109,
1445,4,female,60625,52037.0342,white
1446,63,female,60640,43975.102,white
1449,2,female,60647,50830.9318,white
1451,51,female,60641,49558.7368,white
1461,5,female,60618,58005.5133,white
1472,7,male,60618,58005.5133,white
1473,10,female,60618,58005.5133,white
1478,69,female,60657,78622.5332,white
1504,7,female,60638,60046.2161,white
1512,6,male,60616,47561.8415,white
1515,3,male,60640,43975.102,white
1520,35,female,60634,57736.1576,white
1535,3,female,60661,83416.8838,white
1536,4,female,60634,57736.1576,white
1547,5,female,60660,42405.2031,white
1551,3,female,60660,42405.2031,white
1564,61,female,60646,78555.3247,white
1565,42,female,60617,39216.4893,white
1566,8,female,60628,39591.7109,
1579,37,female,60640,43975.102,white
1580,63,female,60630,57285.3423,white
1584,64,female,60612,36926.7266,white
1588,5,female,60640,43975.102,white
1602,30,male,60605,74840.7761,white
1606,66,female,60657,78622.5332,white
1611,3,female,60640,43975.102,white
1615,5,male,60634,57736.1576,white
1617,4,female,60634,57736.1576,white
1620,10,male,60612,36926.7266,white
1634,64,female,60626,40808.2465,white
1640,3,female,60625,52037.0342,white
1643,3,male,60625,52037.0342,white
1649,7,female,60613,68426.0555,white
1650,4,female,60613,68426.0555,white
1651,5,female,60623,32236.4789,
1654,3,male,60623,32236.4789,
1655,2,male,60626,40808.2465,white
1662,7,male,60622,62490.8059,white
1663,33,female,60608,35282.9596,white
1664,36,female,60647,50830.9318,white
1679,9,male,60643,58104.9847,white
1680,8,male,60637,31645.489,white
1681,8,female,60643,58104.9847,white
1687,13,female,60637,31645.489,white
1711,4,male,60612,36926.7266,white
1715,12,female,60647,50830.9318,white
1721,7,male,60625,52037.0342,white
1724,6,female,60625,52037.0342,white
1752,51,female,60647,50830.9318,white
1793,2,female,60630,57285.3423,white
1813,3,male,60646,78555.3247,white
1815,7,female,60612,36926.7266,white
1819,4,female,60608,35282.9596,white
1820,4,female,60613,68426.0555,white
1824,2,female,60613,68426.0555,white
1825,4,female,60655,83897.8066,white
1831,9,female,60630,57285.3423,white
1834,5,female,60646,78555.3247,white
1836,3,female,60646,78555.3247,white
1839,5,male,60646,78555.3247,white
1861,4,female,60656,59178.5106,white
1863,31,female,60641,49558.7368,white
1875,4,male,60608,35282.9596,white
1880,3,male,60630,57285.3423,white
1882,4,male,60625,52037.0342,white
1899,6,female,60660,42405.2031,white
1908,8,male,60646,78555.3247,white
1910,37,female,60618,58005.5133,white
1912,6,female,60646,78555.3247,white
1916,10,male,60609,35478.1413,white
1918,40,female,60646,78555.3247,white
1919,8,male,60646,78555.3247,white
1920,10,male,60609,35478.1413,white
1926,10,female,60609,35478.1413,white
1927,3,female,60646,78555.3247,white
1928,10,female,60613,68426.0555,white
1937,8,male,60609,35478.1413,white
1944,5,female,60646,78555.3247,white
1955,11,male,60639,41642.9274,white
1957,67,male,60613,68426.0555,white
1958,3,female,60647,50830.9318,white
1959,5,female,60647,50830.9318,white
1962,70,female,60613,68426.0555,white
1965,6,female,60647,50830.9318,white
1970,6,male,60618,58005.5133,white
1976,9,female,60618,58005.5133,white
1987,13,male,60630,57285.3423,white
2003,1,female,60618,58005.5133,white
2009,3,female,60647,50830.9318,white
2019,43,female,60630,57285.3423,white
2020,11,male,60630,57285.3423,white
2021,7,female,60630,57285.3423,white
2022,8,male,60630,57285.3423,white
2024,8,female,60625,52037.0342,white
2027,5,male,60625,52037.0342,white
2029,3,female,60625,52037.0342,white
2031,36,female,60640,43975.102,white
2036,7,male,60640,43975.102,white
2038,5,female,60640,43975.102,white
2048,9,female,60630,57285.3423,white
2059,10,male,60633,46089.2828,white
2061,11,male,60633,46089.2828,white
2087,5,male,60659,49521.1895,white
2097,8,female,60640,43975.102,white
2099,12,female,60638,60046.2161,white
2104,13,female,60634,57736.1576,white
2108,4,male,60641,49558.7368,white
2120,34,female,60643,58104.9847,white
2122,6,female,60643,58104.9847,white
2123,4,female,60643,58104.9847,white
2125,10,female,60616,47561.8415,white
2127,10,male,60631,74087.4356,white
2128,9,female,60631,74087.4356,white
2146,8,female,60642,64721.4761,white
2148,7,female,60642,64721.4761,white
2151,4,male,60642,64721.4761,white
2156,42,female,60612,36926.7266,white
2157,6,female,60614,89740.5419,white
2159,8,female,60612,36926.7266,white
2162,6,female,60612,36926.7266,white
2171,9,female,60630,57285.3423,white
2173,7,male,60630,57285.3423,white
2183,5,male,60607,75222.2245,white
2202,31,female,60640,43975.102,white
2210,10,male,60642,64721.4761,white
2215,41,female,60652,61356.9613,white
2222,12,female,60630,57285.3423,white
2234,6,male,60618,58005.5133,white
2247,37,female,60656,59178.5106,white
2251,4,male,60641,49558.7368,white
2252,48,male,60618,58005.5133,white
2253,10,male,60630,57285.3423,white
2254,5,female,60656,59178.5106,white
2258,7,male,60630,57285.3423,white
2267,6,male,60641,49558.7368,white
2268,5,male,60641,49558.7368,white
2275,60,female,60617,39216.4893,white
2279,11,female,60625,52037.0342,white
2295,12,male,60646,78555.3247,white
2299,6,male,60640,43975.102,white
2326,9,male,60647,50830.9318,white
2328,2,male,60647,50830.9318,white
2343,44,male,60613,68426.0555,white
2355,8,male,60619,37122.9883,
2359,10,male,60660,42405.2031,white
2362,3,female,60626,40808.2465,white
2368,11,male,60615,37863.7745,white
2370,42,male,60659,49521.1895,white
2371,33,female,60639,41642.9274,white
2374,10,male,60607,75222.2245,white
2384,8,female,60640,43975.102,white
2386,33,female,60657,78622.5332,white
2394,11,male,60631,74087.4356,white
2395,9,female,60631,74087.4356,white
2405,8,male,60621,21154.5006,
2414,9,male,60655,83897.8066,white
2417,4,female,60655,83897.8066,white
2435,13,male,60649,28765.3108,
2436,14,male,60649,28765.3108,
2440,16,female,60649,28765.3108,
2441,17,male,60649,28765.3108,
2448,9,male,60630,57285.3423,white
2470,7,female,60632,41426.6983,white
2471,5,female,60632,41426.6983,white
2476,4,male,60642,64721.4761,white
2477,60,female,60659,49521.1895,white
2480,2,female,60657,78622.5332,white
2492,5,male,60657,78622.5332,white
2497,1,male,60660,42405.2031,white
2516,11,male,60617,39216.4893,white
2520,9,male,60617,39216.4893,white
2521,2,female,60646,78555.3247,white
2527,35,male,60641,49558.7368,white
2538,59,female,60617,39216.4893,white
2539,9,male,60631,74087.4356,white
2541,6,female,60631,74087.4356,white
2559,48,female,60652,61356.9613,white
2567,9,male,60646,78555.3247,white
2568,5,male,60646,78555.3247,white
2570,30,male,60614,89740.5419,white
2573,10,female,60616,47561.8415,white
2574,52,female,60618,58005.5133,white
2576,22,male,60618,58005.5133,white
2592,6,male,60628,39591.7109,
2593,9,male,60628,39591.7109,
2595,42,male,60646,78555.3247,white
2596,47,female,60646,78555.3247,white
2598,11,male,60646,78555.3247,white
2599,6,male,60646,78555.3247,white
2607,11,male,60647,50830.9318,white
2609,8,male,60647,50830.9318,white
2615,2,female,60659,49521.1895,white
2621,1,female,60625,52037.0342,white
2626,66,male,60657,78622.5332,white
2667,10,female,60638,60046.2161,white
2673,5,female,60617,39216.4893,white
2684,9,female,60657,78622.5332,white
2710,2,female,60657,78622.5332,white
2721,42,male,60641,49558.7368,white
2724,7,female,60647,50830.9318,white
2734,9,male,60655,83897.8066,white
2735,8,female,60655,83897.8066,white
2736,30,female,60605,74840.7761,white
2737,9,male,60655,83897.8066,white
2738,3,female,60655,83897.8066,white
2748,55,female,60626,40808.2465,white
2756,15,female,60647,50830.9318,white
2758,12,male,60647,50830.9318,white
2760,6,female,60639,41642.9274,white
2761,3,female,60639,41642.9274,white
2774,4,female,60623,32236.4789,
2791,3,female,60647,50830.9318,white
2792,14,female,60647,50830.9318,white
2794,67,male,60601,94715.0122,white
2795,9,female,60647,50830.9318,white
2809,7,female,60655,83897.8066,white
2812,5,male,60655,83897.8066,white
2830,28,male,60614,89740.5419,white
2847,9,female,60634,57736.1576,white
2850,6,female,60634,57736.1576,white
2857,3,female,60660,42405.2031,white
2868,13,male,60660,42405.2031,white
2872,4,male,60608,35282.9596,white
2873,30,male,60659,49521.1895,white
2882,62,male,60615,37863.7745,white
2884,10,female,60638,60046.2161,white
2919,70,female,60652,61356.9613,white
2921,7,male,60640,43975.102,white
2928,5,male,60640,43975.102,white
2979,12,female,60653,28121.8611,white
2982,10,female,60622,62490.8059,white
2983,6,female,60622,62490.8059,white
2984,5,female,60622,62490.8059,white
2996,47,female,60634,57736.1576,white
2997,50,female,60605,74840.7761,white
3005,4,female,60660,42405.2031,white
3037,34,male,60613,68426.0555,white
3039,41,female,60616,47561.8415,white
3046,5,female,60609,35478.1413,white
3058,8,female,60615,37863.7745,white
3066,58,female,60660,42405.2031,white
3099,41,female,60638,60046.2161,white
3111,4,male,60647,50830.9318,white
3112,9,male,60646,78555.3247,white
3114,7,female,60646,78555.3247,white
3120,5,female,60615,37863.7745,white
3128,6,male,60646,78555.3247,white
3129,48,female,60624,23004.0854,
3131,7,male,60646,78555.3247,white
3149,5,male,60631,74087.4356,white
3156,10,male,60639,41642.9274,white
3185,31,female,60613,68426.0555,white
3192,4,female,60615,37863.7745,white
3193,3,female,60615,37863.7745,white
3198,70,male,60660,42405.2031,white
3200,62,female,60652,61356.9613,white
3206,7,female,60628,39591.7109,
3207,10,male,60628,39591.7109,
3210,10,female,60645,49517.3061,white
3215,36,male,60640,43975.102,white
3224,4,male,60647,50830.9318,white
3225,34,female,60613,68426.0555,white
3233,3,male,60616,47561.8415,white
3235,5,male,60616,47561.8415,white
3237,9,male,60613,68426.0555,white
3238,8,female,60613,68426.0555,white
3240,13,male,60653,28121.8611,white
3291,9,female,60617,39216.4893,white
3303,5,male,60647,50830.9318,white
3305,3,male,60647,50830.9318,white
3319,8,female,60647,50830.9318,white
3320,6,male,60647,50830.9318,white
3338,11,male,60628,39591.7109,
3351,13,male,60620,35720.8559,
3355,6,female,60622,62490.8059,white
3399,12,male,60638,60046.2161,white
3401,12,female,60638,60046.2161,white
3409,9,female,60638,60046.2161,white
3412,9,male,60638,60046.2161,white
3419,13,male,60618,58005.5133,white
3420,11,male,60618,58005.5133,white
3426,12,female,60629,42864.0098,white
3438,8,male,60640,43975.102,white
3439,10,female,60638,60046.2161,white
3441,3,female,60638,60046.2161,white
3443,4,female,60640,43975.102,white
3450,11,male,60610,61110.0357,white
3452,6,male,60634,57736.1576,white
3461,51,female,60621,21154.5006,
3476,45,female,60625,52037.0342,white
3514,6,male,60657,78622.5332,white
3517,9,female,60636,28860.7037,
3529,7,male,60612,36926.7266,white
3534,3,female,60638,60046.2161,white
3550,8,male,60617,39216.4893,white
3552,8,male,60617,39216.4893,white
3553,8,female,60617,39216.4893,white
3562,29,male,60618,58005.5133,white
3570,51,male,60641,49558.7368,white
3574,6,male,60633,46089.2828,white
3576,4,female,60633,46089.2828,white
3579,42,male,60644,26299.2288,
3587,7,female,60656,59178.5106,white
3588,66,female,60614,89740.5419,white
3589,5,male,60656,59178.5106,white
3590,2,male,60647,50830.9318,white
3591,8,female,60616,47561.8415,white
3593,39,male,60655,83897.8066,white
3596,17,male,60651,32715.9962,white
3600,38,male,60618,58005.5133,white
3607,13,male,60630,57285.3423,white
3610,10,male,60630,57285.3423,white
3618,52,female,60630,57285.3423,white
3624,7,male,60657,78622.5332,white
3625,42,female,60613,68426.0555,white
3626,4,female,60657,78622.5332,white
3628,4,male,60633,46089.2828,white
3643,4,female,60625,52037.0342,white
3655,9,male,60618,58005.5133,white
3660,5,male,60629,42864.0098,white
3661,6,male,60625,52037.0342,white
3663,45,male,60625,52037.0342,white
3677,22,male,60651,32715.9962,white
3679,6,female,60660,42405.2031,white
3682,7,male,60630,57285.3423,white
3686,38,female,60651,32715.9962,white
3697,8,male,60641,49558.7368,white
3698,5,female,60641,49558.7368,white
3700,57,female,60651,32715.9962,white
3710,28,male,60639,41642.9274,white
3711,28,male,60639,41642.9274,white
3721,30,female,60639,41642.9274,white
3722,37,female,60622,62490.8059,white
3723,34,female,60639,41642.9274,white
3726,25,female,60641,49558.7368,white
3736,16,male,60626,40808.2465,white
3737,23,male,60630,57285.3423,white
3740,31,male,60624,23004.0854,
3742,29,female,60639,41642.9274,white
3744,34,female,60644,26299.2288,
3747,17,male,60618,58005.5133,white
3750,15,male,60625,52037.0342,white
3752,11,male,60641,49558.7368,white
3754,17,male,60625,52037.0342,white
3755,15,male,60625,52037.0342,white
3761,23,female,60647,50830.9318,white
3762,57,female,60617,39216.4893,white
3766,13,male,60641,49558.7368,white
3770,12,male,60625,52037.0342,white
3771,42,male,60647,50830.9318,white
3778,70,female,60614,89740.5419,white
3791,3,female,60647,50830.9318,white
3794,24,female,60626,40808.2465,white
3819,44,female,60626,40808.2465,white
3828,70,female,60610,61110.0357,white
3830,11,female,60629,42864.0098,white
3833,6,female,60646,78555.3247,white
3836,3,female,60646,78555.3247,white
3837,35,male,60618,58005.5133,white
3839,63,female,60625,52037.0342,white
3851,68,female,60610,61110.0357,white
3873,11,male,60620,35720.8559,
3875,33,female,60605,74840.7761,white
3876,33,male,60605,74840.7761,white
3885,10,male,60626,40808.2465,white
3893,7,female,60646,78555.3247,white
3894,5,female,60646,78555.3247,white
3896,2,male,60646,78555.3247,white
3903,9,female,60634,57736.1576,white
3904,32,female,60640,43975.102,white
3917,44,female,60618,58005.5133,white
3919,9,male,60659,49521.1895,white
3920,7,female,60659,49521.1895,white
3955,7,male,60608,35282.9596,white
3958,4,female,60608,35282.9596,white
3964,9,male,60641,49558.7368,white
3965,6,female,60641,49558.7368,white
3979,8,male,60639,41642.9274,white
3980,10,female,60639,41642.9274,white
3990,5,female,60618,58005.5133,white
3991,3,female,60618,58005.5133,white
4006,10,female,60651,32715.9962,white
4019,37,female,60643,58104.9847,white
4020,6,male,60643,58104.9847,white
4044,51,male,60613,68426.0555,white
4054,75,female,60626,40808.2465,white
4062,31,male,60622,62490.8059,white
4065,10,male,60618,58005.5133,white
4066,8,female,60618,58005.5133,white
4068,42,male,60660,42405.2031,white
4070,3,female,60616,47561.8415,white
4077,1,female,60618,58005.5133,white
4080,32,male,60613,68426.0555,white
4086,70,female,60618,58005.5133,white
4091,2,male,60608,35282.9596,white
4092,69,male,60618,58005.5133,white
4095,38,male,60640,43975.102,white
4100,3,female,60613,68426.0555,white
4101,12,female,60638,60046.2161,white
4107,12,male,60640,43975.102,white
4109,10,male,60640,43975.102,white
4110,7,female,60644,26299.2288,
4111,10,female,60630,57285.3423,white
4113,5,male,60644,26299.2288,
4115,7,female,60630,57285.3423,white
4116,11,male,60625,52037.0342,white
4117,11,male,60625,52037.0342,white
4121,8,female,60643,58104.9847,white
4134,10,male,60656,59178.5106,white
4140,50,male,60657,78622.5332,white
4148,3,male,60626,40808.2465,white
4150,1,female,60626,40808.2465,white
4170,47,female,60643,58104.9847,white
4185,7,female,60638,60046.2161,white
4191,4,male,60613,68426.0555,white
4196,4,male,60638,60046.2161,white
4198,10,male,60620,35720.8559,
4204,34,female,60613,68426.0555,white
4229,62,female,60628,39591.7109,
4234,61,male,60628,39591.7109,
4245,5,female,60633,46089.2828,white
4248,5,male,60640,43975.102,white
4249,7,female,60617,39216.4893,white
4251,3,female,60640,43975.102,white
4253,11,male,60637,31645.489,white
4254,8,female,60637,31645.489,white
4275,37,female,60655,83897.8066,white
4277,35,female,60630,57285.3423,white
4281,5,male,60630,57285.3423,white
4284,3,male,60630,57285.3423,white
4292,36,female,60626,40808.2465,white
4302,50,female,60643,58104.9847,white
4316,49,female,60620,35720.8559,
4317,45,female,60641,49558.7368,white
4319,5,male,60633,46089.2828,white
4321,4,male,60633,46089.2828,white
4342,9,male,60617,39216.4893,white
4343,34,male,60614,89740.5419,white
4344,5,male,60614,89740.5419,white
4346,3,male,60614,89740.5419,white
4368,2,male,60641,49558.7368,white
4371,3,female,60630,57285.3423,white
4382,9,female,60629,42864.0098,white
4384,5,female,60655,83897.8066,white
4385,8,female,60655,83897.8066,white
4389,10,female,60655,83897.8066,white
4400,8,female,60640,43975.102,white
4403,30,female,60625,52037.0342,white
4411,4,male,60655,83897.8066,white
4413,51,male,60628,39591.7109,
4415,8,female,60626,40808.2465,white
4420,9,male,60629,42864.0098,white
4423,7,male,60629,42864.0098,white
4425,5,female,60629,42864.0098,white
4426,14,male,60629,42864.0098,white
4430,44,female,60625,52037.0342,white
4431,10,male,60625,52037.0342,white
4436,10,female,60629,42864.0098,white
4440,70,female,60611,85578.2508,white
4445,3,female,60622,62490.8059,white
4448,6,male,60616,47561.8415,white
4452,27,female,60640,43975.102,white
4464,16,male,60633,46089.2828,white
4465,3,male,60661,83416.8838,white
4470,15,male,60633,46089.2828,white
4472,10,male,60646,78555.3247,white
4475,33,female,60608,35282.9596,white
4476,9,female,60608,35282.9596,white
4486,38,male,60647,50830.9318,white
